* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
2, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 80, 4, 4
3, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
5, badlands, minecraft:badlands, MONSTER, minecraft:creeper, 80, 4, 4
6, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
7, badlands, minecraft:badlands, MONSTER, minecraft:enderman, 20, 1, 4
8, badlands, minecraft:badlands, MONSTER, minecraft:witch, 20, 1, 1
9, badlands, minecraft:badlands, MONSTER, creatures_expanded:abomination, 20, 1, 1
10, badlands, minecraft:badlands, MONSTER, monsterplus:abyssologer, 10, 1, 1
11, badlands, minecraft:badlands, MONSTER, iter_rpg:air_elemental, 15, 1, 2
12, badlands, minecraft:badlands, MONSTER, knights:archer, 40, 2, 3
13, badlands, minecraft:badlands, MONSTER, threateningly_mobs:armor_desert, 60, 1, 1
14, badlands, minecraft:badlands, MONSTER, iter_rpg:axebeak, 10, 1, 2
15, badlands, minecraft:badlands, MONSTER, threateningly_mobs:basalt_wyvern, 10, 1, 1
16, badlands, minecraft:badlands, MONSTER, ddenizens:beholder, 10, 1, 1
17, badlands, minecraft:badlands, MONSTER, iter_rpg:bloated, 10, 1, 1
18, badlands, minecraft:badlands, MONSTER, creatures_expanded:brood_spider, 35, 1, 1
19, badlands, minecraft:badlands, MONSTER, threateningly_mobs:cave_hunter, 12, 1, 1
20, badlands, minecraft:badlands, MONSTER, creatures_expanded:crumbling_skeleton, 50, 1, 1
21, badlands, minecraft:badlands, MONSTER, monsterplus:crystal_zombie, 80, 2, 7
22, badlands, minecraft:badlands, MONSTER, creatures_expanded:crystalline_golem, 20, 1, 1
23, badlands, minecraft:badlands, MONSTER, creatures_expanded:crystalline_spider, 45, 1, 3
24, badlands, minecraft:badlands, MONSTER, ddenizens:daemon, 10, 1, 1
25, badlands, minecraft:badlands, MONSTER, ddenizens:death_tyrant, 10, 1, 1
26, badlands, minecraft:badlands, MONSTER, threateningly_mobs:dracoscorpius, 40, 1, 2
27, badlands, minecraft:badlands, MONSTER, terramity:duskrok, 10, 1, 1
28, badlands, minecraft:badlands, MONSTER, threateningly_mobs:elite_zombie_warrior, 10, 1, 2
29, badlands, minecraft:badlands, MONSTER, creatures_expanded:embersmog, 40, 1, 3
30, badlands, minecraft:badlands, MONSTER, iter_rpg:event_spawn, 20, 1, 1
31, badlands, minecraft:badlands, MONSTER, threateningly_mobs:ferox_death_worm, 10, 1, 1
32, badlands, minecraft:badlands, MONSTER, ddenizens:fossilized_skeleton, 25, 1, 2
33, badlands, minecraft:badlands, MONSTER, creatures_expanded:fungal_ghoul, 60, 1, 2
34, badlands, minecraft:badlands, MONSTER, creatures_expanded:gargoyle, 50, 1, 3
35, badlands, minecraft:badlands, MONSTER, ddenizens:gazer, 25, 1, 1
36, badlands, minecraft:badlands, MONSTER, ddenizens:ghoul, 25, 1, 1
37, badlands, minecraft:badlands, MONSTER, iter_rpg:giant_spider, 10, 1, 1
38, badlands, minecraft:badlands, MONSTER, creatures_expanded:gilded_zombie, 55, 1, 3
39, badlands, minecraft:badlands, MONSTER, creatures_expanded:gloomknight, 5, 1, 1
40, badlands, minecraft:badlands, MONSTER, creatures_expanded:gloomweaver, 30, 1, 2
41, badlands, minecraft:badlands, MONSTER, monsterplus:glow_skeleton, 80, 1, 5
42, badlands, minecraft:badlands, MONSTER, creatures_expanded:gnasheart, 60, 1, 4
43, badlands, minecraft:badlands, MONSTER, creatures_expanded:graven, 36, 3, 5
44, badlands, minecraft:badlands, MONSTER, ddenizens:headless, 40, 1, 1
45, badlands, minecraft:badlands, MONSTER, knights:heavyknight, 40, 1, 1
46, badlands, minecraft:badlands, MONSTER, ddenizens:iron_skeleton, 15, 1, 1
47, badlands, minecraft:badlands, MONSTER, creatures_expanded:kamikaze_creeper, 45, 1, 2
48, badlands, minecraft:badlands, MONSTER, knights:knight, 50, 3, 5
49, badlands, minecraft:badlands, MONSTER, threateningly_mobs:lich_re, 10, 1, 1
50, badlands, minecraft:badlands, MONSTER, ddenizens:magma_skeleton, 40, 1, 1
51, badlands, minecraft:badlands, MONSTER, creatures_expanded:miststalker, 40, 1, 1
52, badlands, minecraft:badlands, MONSTER, terra_entity:desert_slime, 30, 1, 2
53, badlands, minecraft:badlands, MONSTER, terra_entity:tomb_crawler, 80, 1, 1
54, badlands, minecraft:badlands, MONSTER, terra_entity:antlion_swarmer, 70, 1, 1
55, badlands, minecraft:badlands, MONSTER, terra_entity:giant_antlion_swarmer, 70, 1, 1
56, badlands, minecraft:badlands, MONSTER, terra_entity:harpy, 60, 1, 2
57, badlands, minecraft:badlands, MONSTER, terra_entity:big_helmet_anger_bones, 20, 1, 1
58, badlands, minecraft:badlands, MONSTER, terra_entity:big_muscle_anger_bones, 20, 1, 1
59, badlands, minecraft:badlands, MONSTER, terra_entity:big_bones, 40, 1, 2
60, badlands, minecraft:badlands, MONSTER, terra_entity:short_bones, 40, 1, 2
61, badlands, minecraft:badlands, MONSTER, terra_entity:anger_bones, 40, 1, 2
62, badlands, minecraft:badlands, MONSTER, terra_entity:big_anger_bones, 30, 1, 2
63, badlands, minecraft:badlands, MONSTER, terra_entity:cursed_skull, 15, 1, 1
64, badlands, minecraft:badlands, MONSTER, terra_entity:dark_caster, 20, 1, 1
65, badlands, minecraft:badlands, MONSTER, mocreatures:biggolem, 10, 1, 1
66, badlands, minecraft:badlands, MONSTER, mocreatures:rat, 10, 1, 2
67, badlands, minecraft:badlands, MONSTER, mocreatures:dirtscorpion, 10, 1, 3
68, badlands, minecraft:badlands, MONSTER, mocreatures:minigolem, 40, 1, 1
69, badlands, minecraft:badlands, MONSTER, mocreatures:plainmanticore, 50, 1, 1
